QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I23,NOME_CURSO,QE_I25,QE_I14
6,3,6,5,6,5,5,6,5,5,4,4,5,4,5,6,4,4,4,2,5,5,5,6,5,1,1,3,4,2,4,5,5,6,4,4,4,5,2,5,4,4,B,História (Licenciatura),H,A
6,5,6,4,6,5,6,6,6,5,3,4,5,4,6,6,5,5,4,4,4,5,6,6,4,3,1,5,3,4,6,2,4,5,4,3,3,1,2,6,6,4,B,História (Licenciatura),E,A
5,5,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,7,4,3,5,5,7,7,7,5,5,5,6,5,5,6,4,7,7,4,7,5,5,5,C,História (Licenciatura),E,A
4,4,4,4,5,5,6,5,6,5,4,5,5,4,5,5,5,4,4,4,4,4,4,5,7,8,8,4,4,3,4,3,4,4,3,4,3,3,7,6,4,4,C,História (Licenciatura),H,A
4,2,1,5,5,3,5,6,3,4,3,3,4,1,2,4,5,5,6,4,6,2,4,3,2,1,1,2,3,4,5,3,5,3,2,2,2,5,2,5,3,6,C,História (Licenciatura),G,A
8,7,6,3,6,4,5,3,5,4,2,3,1,2,1,5,1,2,5,1,1,1,1,4,8,1,1,1,1,2,6,2,2,4,1,1,1,2,1,1,1,4,B,História (Licenciatura),H,A
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,8,8,6,6,6,6,6,5,5,2,2,2,5,8,6,5,6,B,História (Licenciatura),E,A
6,6,5,6,6,5,6,6,6,6,5,6,5,6,6,5,6,6,5,6,5,6,5,6,6,5,6,5,6,6,5,5,5,5,5,5,5,5,6,5,5,5,B,História (Licenciatura),E,A
5,6,5,6,5,6,6,6,5,6,4,5,4,3,6,5,6,5,4,6,3,3,5,6,8,3,2,4,3,4,5,4,3,5,3,8,8,3,4,6,4,3,B,História (Licenciatura),H,A
5,4,5,6,4,6,5,5,6,6,5,5,6,4,6,5,5,2,4,4,4,4,5,4,6,5,2,3,5,4,6,7,3,5,5,5,5,5,7,6,4,5,D,História (Licenciatura),H,A
5,5,5,6,6,6,6,6,6,5,5,4,4,3,5,6,5,5,3,6,5,4,6,6,6,2,2,3,4,5,5,5,4,6,3,3,1,2,1,6,6,2,D,História (Licenciatura),E,A
